s_1;s_2;s_3;s_4;s_5;s_20;s_28;s_25;s_29;s_30;s_7_1;s_7_2;s_7_3;s_9;s_10;s_12;s_11;s_13;s_15;s_14;s_16;s_17;s_18;s_19;s_27;lang;email;stato_1;stato_2;stato_3;stato_4;stato_5
2;55;5;4;1;4;4;3;2;2;0;0;1;6;"?????? ?? ?????????";3;3;3;4;4;3;4;2;2;2;3;"";0;0;0;1;0
3;27;5;4;1;4;3;3;3;2;0;0;1;4;"";;;;;;;;;;;3;"";0;0;1;0;0
3;;4;2;1;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;0;1;0;0
3;28;5;4;1;4;3;3;4;2;0;0;1;4;"???????";4;4;3;5;2;2;6;1;2;1;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;21;5;2;1;4;3;4;3;2;0;0;1;3;"????? ??? ?????????? ???? ??? ????????? ??? ????????!";6;3;4;5;4;3;4;2;2;2;3;"";0;0;0;1;0
2;24;5;4;1;5;3;4;4;2;0;0;1;3;"????????????";3;3;2;4;4;3;4;2;2;2;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;5;"";0;1;0;0;0
3;26;4;4;1;4;4;4;3;2;1;0;0;3;"Nista";3;3;4;5;4;3;5;1;2;1;4;"";0;0;0;1;0
3;23;4;2;2;4;4;3;4;1;0;0;1;4;"Ne?to previ?e prera?eno";3;3;3;4;3;3;5;1;1;2;4;"";0;0;0;1;0
3;30;4;4;1;4;2;3;3;2;0;0;1;3;"Kemijski obradeno";3;3;4;5;3;3;4;2;2;2;4;"";0;0;0;1;0
2;59;3;4;1;3;3;2;3;2;0;1;1;4;"Asco";2;3;3;4;6;4;4;2;2;2;5;"";0;0;0;1;0
3;23;4;2;1;4;5;3;3;2;0;0;1;4;"Laboratorij";4;3;3;5;4;2;6;1;1;2;4;"";0;0;0;1;0
3;40;4;4;1;4;3;4;5;1;0;0;1;3;"Malo me zbunjuje, podsje?a na genetski in?enjering";3;4;4;5;3;3;5;1;2;1;4;"";0;0;0;1;0
3;41;5;4;1;4;4;3;4;1;1;0;0;3;"Not slaughtering animals";4;4;4;6;2;2;5;1;1;1;2;"";0;0;0;1;0
3;37;5;4;1;4;4;4;3;2;0;0;1;4;"????????????";2;4;3;6;5;4;5;2;2;2;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;31;5;4;1;4;2;2;2;1;1;1;1;3;"???????? ???????????? ??? ????";3;5;3;6;3;2;5;1;1;1;3;"";0;0;0;1;0
3;18;5;2;1;4;3;4;5;2;0;0;1;3;"????? ??? ????????? ?? ??????? ????????? ????? ??? ???????????? ??? ????";3;4;4;5;3;2;4;1;2;1;3;"";0;0;0;1;0
3;27;3;4;1;2;1;1;6;1;1;0;0;4;"Avance";4;4;3;6;4;6;5;1;1;1;5;"";0;0;0;1;0
2;27;3;4;1;4;4;4;4;4;0;0;1;3;"No conozco dicho término.";3;3;3;4;3;3;4;1;1;1;5;"";0;0;0;1;0
3;31;4;2;2;3;3;3;5;1;1;1;0;3;"";;;;;;;;;;;4;"";0;0;1;0;0
2;57;4;2;1;3;3;4;4;2;0;0;1;4;"Genetski uzgojeno";2;3;4;5;4;4;2;2;2;2;4;"";0;0;0;1;0
2;30;3;4;1;4;2;1;4;1;1;1;1;4;"Sostenible";3;5;3;6;3;6;5;1;1;1;5;"";0;0;0;1;0
2;33;3;4;2;3;4;4;5;4;1;0;0;3;"Clonar";3;5;4;6;4;3;4;1;2;1;5;"";0;0;0;1;0
2;31;3;3;1;4;2;6;6;7;0;1;0;3;"";5;5;4;6;;;;;;;5;"";0;0;1;0;0
3;16;4;1;2;4;4;3;5;2;1;0;1;4;"Dodatak gena koji ?tete ljudskom zdravlju";2;2;6;4;4;4;2;2;2;2;4;"";0;0;0;1;0
3;31;5;4;1;4;3;3;4;2;1;0;0;3;"????????? ?? ??????????";3;3;3;5;3;4;2;2;2;1;3;"";0;0;0;1;0
3;27;5;4;1;4;3;3;3;2;0;0;1;4;"????? ??????????? ??? ??? ??? ????? ?????????? ???????? ?????????????";3;4;4;5;3;2;5;1;1;2;3;"";0;0;0;1;0
2;31;5;2;2;5;3;2;4;1;0;0;1;4;"???????????";2;6;3;5;3;4;4;2;2;2;3;"";0;0;0;1;0
3;23;5;4;1;4;4;4;4;3;0;0;1;3;"??????????";3;4;3;5;2;5;5;1;2;1;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;;"";0;1;0;0;0
3;22;5;2;1;2;1;1;2;1;0;1;0;3;"??? ??? ??????? ???????????";3;4;2;4;3;4;2;2;2;2;3;"";0;0;0;1;0
3;30;5;4;1;4;4;1;1;3;1;1;1;3;"??? ??? ?????????????? ??? ??????????";3;2;3;3;3;3;4;1;2;2;3;"";0;0;0;1;0
3;19;5;4;1;4;3;4;4;2;1;0;0;3;"";3;4;4;5;3;3;;;;;3;"";0;0;1;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;1;0;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;5;"";0;1;0;0;0
3;30;4;4;1;4;4;4;3;3;0;0;1;4;"GMO";3;4;3;5;5;2;4;2;2;2;4;"";0;0;0;1;0
3;57;3;4;1;4;2;3;4;1;0;0;1;3;"Desconocimiento";3;3;3;6;4;2;4;1;2;2;5;"";0;0;0;1;0
2;33;5;4;2;3;3;3;3;3;0;0;1;3;"??????";2;6;3;2;5;6;4;2;2;1;3;"";0;0;0;1;0
3;25;4;2;1;4;4;3;3;2;1;0;0;4;"Snicla";4;5;4;6;3;2;2;1;2;1;4;"";0;0;0;1;0
3;50;4;2;1;4;2;4;5;2;0;0;1;3;"kloniranje";2;2;3;5;6;3;5;2;2;2;4;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;1;0;0;0
3;28;5;2;1;3;3;3;3;2;1;0;0;3;"???? ?? ????? ?????????? ?? ?????? ?????????? ??? ?????? ?????????";3;5;4;5;2;3;5;2;2;1;3;"";0;0;0;1;0
3;29;4;3;2;4;4;4;4;3;1;0;0;3;"umijetno meso";2;3;3;4;4;3;6;2;2;1;4;"";0;0;0;1;0
2;36;5;4;1;3;1;1;1;1;0;1;0;3;"????????? ?????????";3;3;3;4;4;3;4;2;2;2;3;"";0;0;0;1;0
3;45;5;4;1;1;1;1;5;1;1;1;1;3;"???????";3;4;3;5;4;3;4;1;2;1;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;1;0;0;0
2;25;3;4;1;4;3;3;4;1;1;1;1;4;"Artificial";3;4;3;5;3;3;5;1;2;1;5;"";0;0;0;1;0
3;23;5;4;1;3;3;3;3;1;1;0;0;3;"??? ????? ?????????? ??? ??? ???????";2;2;3;5;4;3;5;2;2;1;3;"";0;0;0;1;0
3;30;3;4;1;4;3;3;4;2;0;0;1;4;"Muy caro, difícil de obtener";3;4;4;6;3;2;5;1;1;1;5;"";0;0;0;1;0
2;24;3;4;1;6;5;3;3;3;0;1;0;4;"Avance";3;4;3;5;4;3;4;1;1;1;;"";0;0;0;1;0
2;27;5;4;1;5;4;4;4;2;0;0;1;6;"?????? ????";3;3;4;5;3;2;6;2;2;1;3;"";0;0;0;1;0
3;60;5;4;1;4;4;3;2;1;1;1;1;4;"???????";3;4;3;5;4;3;4;2;2;2;3;"";0;0;0;1;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;2;"";0;1;0;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;1;0;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;2;"";0;1;0;0;0
;;;;;;;;;;0;0;0;;"";;;;;;;;;;;3;"";0;1;0;0;0
3;21;5;4;1;5;4;3;5;1;1;0;0;3;"????? ???????????";3;4;3;4;3;2;5;1;1;1;3;"";0;0;0;1;0
3;21;5;2;1;4;4;4;3;2;0;1;0;6;"?????";3;5;2;6;4;3;4;1;2;1;3;"";0;0;0;1;0
3;27;4;4;2;4;3;3;6;2;1;0;0;4;"Zanimljivo";3;3;4;5;3;2;5;1;2;1;4;"";0;0;0;1;0
3;33;4;2;2;4;2;4;5;2;0;0;1;4;"Kemija";2;2;4;3;4;3;4;1;2;2;;"";0;0;0;1;0
3;58;5;4;1;5;4;3;6;2;0;0;1;3;"????????????";6;6;6;2;6;4;7;2;2;2;3;"";0;0;0;1;0
3;58;3;4;1;4;1;1;4;3;0;1;1;6;"No la quiero consumir";3;3;2;6;5;3;7;2;2;2;5;"";0;0;0;1;0
3;29;3;4;1;3;4;4;4;2;1;1;1;4;"Artificial";3;4;4;6;3;2;5;1;1;1;5;"";0;0;0;1;0
3;25;5;4;1;4;3;4;3;2;1;1;0;3;"????? ??? ??? ??? ??????????? ?? ???? ?????? ????????? ??????";2;4;3;4;5;3;5;2;2;2;3;"";0;0;0;1;0
3;26;3;4;1;4;3;3;4;2;0;1;0;6;"Futuro";4;4;4;6;2;3;6;1;1;1;5;"";0;0;0;1;0
3;29;3;4;1;1;1;1;1;1;1;1;1;3;"Carne falsa";4;5;3;6;3;3;5;1;1;1;5;"";0;0;0;1;0
3;25;3;4;1;1;2;2;3;1;1;1;0;6;"Alternativa a la ganadería";3;4;3;6;3;6;6;1;1;1;5;"";0;0;0;1;0
3;26;4;4;1;5;3;1;4;1;1;0;1;4;"Gmo";3;4;4;6;3;2;;;;;4;"";0;0;1;0;0
3;20;3;2;2;5;3;2;3;2;1;1;0;4;"Ultraprocesado";3;4;3;4;5;3;6;1;2;1;5;"";0;0;0;1;0
2;25;3;4;2;4;1;4;3;1;0;0;1;4;"Cáncer";6;6;6;3;6;6;7;2;2;2;5;"";0;0;0;1;0
3;18;5;2;1;1;1;1;1;1;1;0;0;3;"???????????";2;4;3;6;5;2;6;1;1;1;3;"";0;0;0;1;0
2;26;5;4;1;4;4;4;4;3;0;0;1;4;"????????????";3;4;3;5;3;3;5;2;2;1;3;"";0;0;0;1;0
3;38;3;4;1;7;3;1;5;1;1;0;0;4;"Carne de origen sintetico";4;4;4;5;6;6;6;1;1;1;5;"";0;0;0;1;0
3;64;4;2;1;4;3;3;3;2;1;1;0;3;"Ne znam";3;3;4;5;3;3;6;1;2;1;4;"";0;0;0;1;0
2;27;5;2;1;3;3;3;5;1;1;0;0;4;"Mass produced";4;4;3;5;2;6;6;1;1;1;2;"";0;0;0;1;0
2;44;5;3;1;5;4;5;5;3;1;0;1;6;"????????";6;3;2;4;5;5;7;2;2;2;3;"";0;0;0;1;0
3;49;3;4;1;3;3;3;2;2;0;1;0;4;"Sabor";3;4;3;5;4;3;5;2;2;2;5;"";0;0;0;1;0
3;23;5;2;1;4;1;1;1;1;1;1;0;4;"???????";3;3;4;5;4;3;4;1;2;1;3;"";0;0;0;1;0
3;19;5;2;1;4;4;4;4;2;0;0;1;4;"??????????";2;3;3;5;4;4;5;2;2;2;3;"";0;0;0;1;0
2;24;3;3;1;5;3;4;5;1;1;1;0;3;"Nos vamos a la mier*a";6;3;3;2;5;4;7;2;2;2;5;"";0;0;0;1;0
2;43;3;4;1;5;4;3;3;2;1;1;1;4;"";;;;;;;;;;;5;"";0;0;1;0;0
3;37;4;4;1;;;;;;0;0;0;;"";;;;;;;;;;;4;"";0;0;1;0;0
